,count,mean,std,min,25%,50%,75%,max
Total time (s),14523.0,108.15281105832129,150.92264753126898,0.001,8.2055,29.832,154.9555,505.079
Elapsed cycle time (s),14523.0,0.32977139709426395,0.5214649218482917,0.0,0.129,0.258,0.387,5.078
Total cycles,14523.0,206.84052881636026,301.71134623298394,1.0,7.0,50.0,300.0,1000.0
Elapsed cycles,14523.0,206.84052881636026,301.71134623298394,1.0,7.0,50.0,300.0,1000.0
Step,14523.0,1.965365282655099,0.18285911538324692,1.0,2.0,2.0,2.0,2.0
Total cycle count (Linear waveform),14523.0,206.20395235144255,301.72023342134025,0.0,6.25,49.5,299.75,1000.0
Actuator position (mm),14523.0,17.332985295616268,0.06281244576744913,17.2446474058766,17.28171365029135,17.3214986672748,17.390158316381,17.5012574917155
Force (N),14523.0,-7.061069685849567,6.518518570846762,-19.0603202455309,-13.237239980421801,-6.3907461564298,0.0674003003062229,0.439800285473833
Stress (MPa),14523.0,-0.31388112045917355,0.28976344998429776,-0.847275971085121,-0.5884263860429331,-0.284083666270884,0.00299610154277305,0.0195501549374926
Digital position (mm),14523.0,17.332989915616267,0.0628124457674487,17.2446520258765,17.28171827029135,17.3215032872748,17.390162936381053,17.5012621117155
Temperature (˚C),14523.0,21.56149429822703,0.005369481356835103,21.5457899999999,21.558584921874903,21.56295,21.56543742187505,21.56889
